date;trial;subject;task;stage;checksum;box;TRIAL_START;TRIAL_END;Port1In_START;Port1Out_START;Port4In_START;Port4Out_START;Port7In_START;Port7Out_START;STATE_center_light_START;STATE_center_light_END;STATE_drink_delay_START;STATE_drink_delay_END;STATE_light_off_START;STATE_light_off_END;STATE_light_on_START;STATE_light_on_END;STATE_side_light_START;STATE_side_light_END;STATE_wait_opto_START;STATE_wait_opto_END;STATE_water_delivery_START;STATE_water_delivery_END;STATE_wrong_side_START;STATE_wrong_side_END;SoftcodeOut1_START;SoftcodeOut20_START;SoftcodeOut6_START;SoftcodeOut7_START;Block_index;Block_type;Prob_block_type;Probability_L_R_blocks;frequency_light;iti_duration;list_prob_R_values;max_dur_light;opto_bool;opto_type;outcome;probability_r;pulse_dur_on;reward_drunk;side;subject_weight;trials_max
2024/08/01;1;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511603.494867;1722511625.633653;;;1722511611.6506672,1722511612.7996671;1722511612.152667,1722511613.473767;;;1722511603.494867;1722511611.6506672;1722511621.6506672;1722511625.633667;;;;;1722511611.6506672;1722511621.6506672;;;;;;;;1722511611.651389;;;0.0;exp;rdm_values;balanced;20;3.98302634583821;[0.9, 0.8];2.0;0;6;miss;0.19999999999999996;0.0125;0;left;0.0;16754.0
2024/08/01;2;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511625.738835;1722511705.217621;;;1722511701.524235,1722511703.5359352,1722511705.103835;1722511701.8777351,1722511704.1212351;1722511702.4485352;1722511702.7343352;1722511625.738835;1722511701.524235;1722511702.9485352;1722511705.2176352;;;;;1722511701.524235;1722511702.4485352;;;;;1722511702.4485352;1722511702.9485352;1722511702.451587;;;;0.0;exp;rdm_values;balanced;20;2.2691271584633697;[0.9, 0.8];2.0;1;6;incorrect;0.19999999999999996;0.0125;0;left;0.0;16754.0
2024/08/01;3;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511705.325737;1722511719.180123;1722511712.321737;1722511712.610037;1722511710.306737,1722511712.076237;1722511705.407937,1722511710.849937,1722511712.835537;;;1722511705.325737;1722511710.306737;1722511718.833937;1722511719.180137;1722511718.333937;1722511718.833937;1722511717.333937;1722511718.333937;1722511710.306737;1722511712.321737;1722511712.333937;1722511717.333937;1722511712.321737;1722511712.333937;;;;;1722511717.334491;1722511718.334609;0.0;exp;rdm_values;balanced;20;6.346231511639555;[0.9, 0.8];2.0;1;6;correct;0.19999999999999996;0.0125;3.0;left;0.0;16754.0
2024/08/01;4;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511719.285693;1722511729.563579;;;1722511720.5373929;1722511720.8268929;1722511721.456393;1722511721.7357929;1722511719.285693;1722511720.5373929;1722511721.956393;1722511729.563593;;;;;1722511720.5373929;1722511721.456393;;;;;1722511721.456393;1722511721.956393;1722511721.456718;;;;0.0;exp;rdm_values;balanced;20;7.607245827532534;[0.9, 0.8];2.0;0;6;incorrect;0.19999999999999996;0.0125;3.0;left;0.0;16754.0
2024/08/01;5;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511729.672037;1722511746.700423;;;1722511733.8537369,1722511735.761937;1722511735.2617369,1722511735.9418368;1722511736.651337;1722511736.895537;1722511729.672037;1722511733.8537369;1722511743.163137;1722511746.7004368;1722511742.663137;1722511743.163137;1722511741.663137;1722511742.663137;1722511733.8537369;1722511736.651337;1722511736.663137;1722511741.663137;1722511736.651337;1722511736.663137;;;;;1722511741.663644;1722511742.663673;0.0;exp;rdm_values;balanced;20;9.53735324682166;[0.9, 0.8];2.0;1;6;correct;0.19999999999999996;0.0125;6.0;right;0.0;16754.0
2024/08/01;6;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511746.806182;1722511803.745868;1722511801.343582;1722511801.510582;1722511800.782182;1722511801.028882;;;1722511746.806182;1722511800.782182;1722511801.3557818;1722511803.7458818;;;;;1722511800.782182;1722511801.343582;;;1722511801.343582;1722511801.3557818;;;;;;;0.0;exp;rdm_values;balanced;20;2.3901301739248115;[0.9, 0.8];2.0;1;6;correct;0.19999999999999996;0.0125;9.0;left;0.0;16754.0
2024/08/01;7;A16;S4_5_train_pulse;0;36c9049b8e17845d1e5d2a5df0fe67d9;12;1722511803.852953;1722511847.154439;1722511843.2884529;1722511843.474453;1722511842.543453;1722511842.787353;;;1722511803.852953;1722511842.543453;1722511843.300653;1722511847.154453;;;;;1722511842.543453;1722511843.2884529;;;1722511843.2884529;1722511843.300653;;;;;;;0.0;exp;rdm_values;balanced;20;3.8538324365250647;[0.9, 0.8];2.0;0;6;correct;0.19999999999999996;0.0125;12.0;left;0.0;16754.0
