date;trial;subject;task;stage;checksum;box;TRIAL_START;TRIAL_END;Port1In_START;Port1Out_START;Port4In_START;Port4Out_START;Port7In_START;Port7Out_START;STATE_center_light_START;STATE_center_light_END;STATE_drink_delay_START;STATE_drink_delay_END;STATE_light_off_START;STATE_light_off_END;STATE_light_on_START;STATE_light_on_END;STATE_side_light_START;STATE_side_light_END;STATE_wait_opto_START;STATE_wait_opto_END;STATE_water_delivery_START;STATE_water_delivery_END;STATE_wrong_side_START;STATE_wrong_side_END;SoftcodeOut1_START;SoftcodeOut20_START;SoftcodeOut6_START;SoftcodeOut7_START;Block_index;Block_type;Prob_block_type;Probability_L_R_blocks;frequency_light;iti_duration;list_prob_R_values;max_dur_light;opto_bool;opto_type;outcome;probability_r;pulse_dur_on;reward_drunk;side;subject_weight;trials_max
2024/08/02;11;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597506.794284;1722597510.89307;1722597507.958284,1722597508.6863842,1722597508.847284;1722597507.9860842,1722597508.832584,1722597509.377484;1722597508.402184;1722597508.411884;;;1722597506.794284;1722597508.402184;1722597509.1863842;1722597510.893084;;;;;1722597508.402184;1722597508.6863842;;;;;1722597508.6863842;1722597509.1863842;1722597508.686915;;;;1.0;exp;rdm_values;balanced;20;1.7067632761848428;[0.9, 0.8];2.0;1;6;incorrect;0.9;0.0125;0;right;0.0;99999.0
2024/08/02;12;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597510.948047;1722597559.5768328;;;1722597556.6646469;1722597556.731047;1722597557.016047;1722597557.1927469;1722597510.948047;1722597556.6646469;1722597557.0278468;1722597559.5768468;;;;;1722597556.6646469;1722597557.016047;;;1722597557.016047;1722597557.0278468;;;;;;;1.0;exp;rdm_values;balanced;20;2.5490349901858655;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;3.0;right;0.0;99999.0
2024/08/02;13;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597559.631778;1722597598.1381638;;;1722597590.529078;1722597590.545178;1722597590.912878,1722597590.959478;1722597590.933678,1722597591.462478;1722597559.631778;1722597590.529078;1722597590.924678;1722597598.138178;;;;;1722597590.529078;1722597590.912878;;;1722597590.912878;1722597590.924678;;;;;;;1.0;exp;rdm_values;balanced;20;7.213568605401002;[0.9, 0.8];2.0;0;6;correct;0.9;0.0125;6.0;right;0.0;99999.0
2024/08/02;14;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597598.19336;1722597690.824746;1722597683.5431602;1722597683.7852602;1722597682.80566;1722597683.06276;;;1722597598.19336;1722597682.80566;1722597690.5431602;1722597690.8247602;1722597690.0431602;1722597690.5431602;1722597689.0431602;1722597690.0431602;1722597682.80566;1722597683.5431602;1722597684.0431602;1722597689.0431602;;;1722597683.5431602;1722597684.0431602;1722597683.546636;;1722597689.046903;1722597690.046905;1.0;exp;rdm_values;balanced;20;6.281621499532202;[0.9, 0.8];2.0;1;6;incorrect;0.9;0.0125;6.0;right;0.0;99999.0
2024/08/02;15;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597690.881493;1722597703.0300791;;;1722597698.8051932;1722597698.862293;1722597699.144993;1722597699.4034932;1722597690.881493;1722597698.8051932;1722597699.156793;1722597703.0300932;;;;;1722597698.8051932;1722597699.144993;;;1722597699.144993;1722597699.156793;;;;;;;1.0;exp;rdm_values;balanced;20;3.873345579502998;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;9.0;right;0.0;99999.0
2024/08/02;16;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597703.084635;1722597704.491821;;;1722597703.619535;1722597703.709035;1722597704.000835,1722597704.3777351;1722597704.376335;1722597703.084635;1722597703.619535;1722597704.012635;1722597704.491835;;;;;1722597703.619535;1722597704.000835;;;1722597704.000835;1722597704.012635;;;;;;;1.0;exp;rdm_values;balanced;20;0.479208499866879;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;12.0;right;0.0;99999.0
2024/08/02;17;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597704.545871;1722597707.8203568;;;1722597705.015671,1722597705.139771;1722597705.0580711,1722597705.177171;1722597705.425271,1722597707.070371,1722597707.244871;1722597704.691271,1722597707.025271,1722597707.178871,1722597707.418771;1722597704.545871;1722597705.015671;1722597705.437071;1722597707.820371;;;;;1722597705.015671;1722597705.425271;;;1722597705.425271;1722597705.437071;;;;;;;1.0;exp;rdm_values;balanced;20;2.3833836587497133;[0.9, 0.8];2.0;0;6;correct;0.9;0.0125;15.0;right;0.0;99999.0
2024/08/02;18;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597707.874441;1722597712.701727;;;1722597708.275941;1722597708.298241;1722597708.5685408;1722597709.3213408;1722597707.874441;1722597708.275941;1722597708.5803409;1722597712.701741;;;;;1722597708.275941;1722597708.5685408;;;1722597708.5685408;1722597708.5803409;;;;;;;1.0;exp;rdm_values;balanced;20;4.121497190603982;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;18.0;right;0.0;99999.0
2024/08/02;19;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597712.757601;1722597723.791387;;;1722597718.170901;1722597718.199601;1722597718.478201,1722597719.306301;1722597719.117601,1722597720.626301;1722597712.757601;1722597718.170901;1722597718.490001;1722597723.791401;;;;;1722597718.170901;1722597718.478201;;;1722597718.478201;1722597718.490001;;;;;;;1.0;exp;rdm_values;balanced;20;5.301451100118912;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;21.0;right;0.0;99999.0
2024/08/02;20;A17;S4_5_single_pulse;0;6add2180634147497d884057610fc444;12;1722597723.855984;1722597728.4934702;;;1722597724.871684;1722597724.910084;1722597725.155784;1722597725.958384;1722597723.855984;1722597724.871684;1722597725.167584;1722597728.493484;;;;;1722597724.871684;1722597725.155784;;;1722597725.155784;1722597725.167584;;;;;;;1.0;exp;rdm_values;balanced;20;3.325941289301193;[0.9, 0.8];2.0;1;6;correct;0.9;0.0125;24.0;right;0.0;99999.0
